Driver,Nationality,Team,Age,Salary
Max Verstappen,Dutch,Red Bull,25,$55.0M
Lewis Hamilton,British,Mercedes,38,$35.0M
Charles Leclerc,Monegasque,Ferrari,25,$24.0M
Lando Norris,British,McLaren,23,$20.0M
Carlos Sainz,Spanish,Ferrari,28,$12.0M
George Russell,British,Mercedes,25,$8.0M
Esteban Ocon,French,Alpine,26,$6.0M
Fernando Alonso,Spanish,Aston Martin,41,$5.0M
Pierre Gasly,French,Alpine,27,$5.0M
Kevin Magnussen,Danish,Haas,30,$5.0M
Lance Stroll,Canadian,Aston Martin,24,$2.0M
Guanyu Zhou,Chinese,Alfa Romeo,23,$2.0M
Nyck de Vries,Dutch,AlphaTauri,28,$2.0M
Oscar Piastri,Australian,McLaren,21,$2.0M
Yuki Tsunoda,Japanese,AlphaTauri,22,$1.0M
Logan Sargeant,American,Williams,22,$1.0M
Sergio Perez,Mexican,Red Bull,33,$10.0M
Valterri Bottas,Finnish,Alfa Romeo,33,$10.0M
Alex Albon,Thai,Williams,25,$3.0M
Nico Hulkenburg,German,AlphaTauri,35,$1.0M
